campaign_id,advertiser_id,advertiser_name,app_name,vertical,objective,primary_theme,target_age_segment,target_os,countries,start_date,end_date,daily_budget_usd,kpi_goal
20000,1000,PixelForge,PixelForge Legends,gaming,install,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA
20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,testimonial,45-54,Android,ES|UK|MX,2026-01-11,2026-03-19,2532,CPA
20002,1002,EarnPath,EarnPath Invest,fintech,signup,trust,18-24,iOS,CA|MX|IT|BR,2026-01-02,2026-03-17,3015,CPA
20003,1003,CloudRoute,CloudRoute Getaway,travel,booking,family,35-44,Android,DE|JP|BR,2026-01-03,2026-02-17,3437,ROAS
20004,1004,SnapMeal,SnapMeal Bites,food_delivery,order,discount,25-34,iOS,IT|DE|US,2026-01-16,2026-03-02,2261,CPA
20005,1005,MoonScreen,MoonScreen TV,entertainment,signup,celebrity,35-44,iOS,ES|IT,2026-01-15,2026-03-12,2983,IPM
20006,1006,NeonArena,NeonArena Quest,gaming,install,reward,25-34,iOS,BR|FR|IT,2026-01-03,2026-02-21,2980,IPM
20007,1007,ThreadMark,ThreadMark Shop,ecommerce,purchase,ugc,45-54,Both,US|JP,2026-01-01,2026-02-18,1612,CPA
20008,1008,CoinBridge,CoinBridge Invest,fintech,signup,trust,45-54,Both,MX|DE|UK|BR,2026-01-13,2026-03-10,4256,CTR
20009,1009,DriftPass,DriftPass Travel,travel,booking,discount,18-24,Android,IT|US|ES,2026-01-04,2026-02-27,3678,CTR
20010,1010,BiteRush,BiteRush Delivery,food_delivery,order,discount,25-34,Both,MX|UK,2026-01-03,2026-03-15,2394,ROAS
20011,1011,FluxStream,FluxStream Play,entertainment,signup,trailer,45-54,Both,FR|DE,2026-01-04,2026-03-16,2807,ROAS
20012,1012,VoxelRealm,VoxelRealm Battle,gaming,install,competitive,25-34,Android,JP|FR|CA,2026-01-09,2026-03-09,3557,CTR
20013,1013,BoltCart,BoltCart Drops,ecommerce,purchase,ugc,18-24,Android,BR|DE,2026-01-21,2026-04-02,2720,CPA
20014,1014,VaultRun,VaultRun Pay,fintech,signup,feature-focus,25-34,Android,DE|UK|MX|IT,2026-01-20,2026-03-30,2738,IPM
20015,1015,HorizonHop,HorizonHop Trips,travel,booking,wanderlust,25-34,iOS,ES|MX|JP,2026-01-16,2026-03-09,1792,CPA
20016,1016,FreshDash,FreshDash Bites,food_delivery,order,combo,25-34,Android,DE|MX|CA,2026-01-07,2026-03-02,3619,ROAS
20017,1017,PulsePlay,PulsePlay Box,entertainment,install,trailer,25-34,iOS,MX|US|JP|DE,2026-01-13,2026-03-23,3113,ROAS
20018,1018,StormByte,StormByte Saga,gaming,install,fantasy,25-34,Android,IT|DE,2026-01-03,2026-03-11,3281,IPM
20019,1019,ZenDrop,ZenDrop Market,ecommerce,purchase,product-focus,45-54,Both,US|UK,2026-01-20,2026-03-31,1747,CPA
20020,1020,NovaPay,NovaPay Wallet,fintech,signup,minimalist,25-34,Android,BR|MX,2026-01-17,2026-03-25,5312,ROAS
20021,1021,RouteBloom,RouteBloom Getaway,travel,booking,discount,35-44,iOS,ES|US,2026-01-19,2026-03-14,3146,ROAS
20022,1022,CraveLoop,CraveLoop Express,food_delivery,order,food-closeup,18-24,iOS,US|DE,2026-01-18,2026-03-07,2603,ROAS
20023,1023,NeonCast,NeonCast Stream,entertainment,install,drama,18-24,Android,MX|US,2026-01-20,2026-03-28,6064,CTR
20024,1024,GlitchWave,GlitchWave Quest,gaming,install,reward,18-24,Android,BR|MX|JP,2026-01-09,2026-02-23,2933,ROAS
20025,1025,LuxShelf,LuxShelf Market,ecommerce,purchase,ugc,45-54,Both,US|CA|JP|UK,2026-01-15,2026-03-16,1794,IPM
20026,1026,ClearLedger,ClearLedger Invest,fintech,signup,minimalist,35-44,iOS,FR|BR|ES|IT,2026-01-13,2026-03-12,2586,CTR
20027,1027,WayPoint,WayPoint Trips,travel,booking,discount,35-44,Android,IT|CA,2026-01-21,2026-03-27,1338,IPM
20028,1028,QuickFork,QuickFork Kitchen,food_delivery,order,combo,25-34,Both,UK|JP|ES,2026-01-06,2026-03-12,4303,IPM
20029,1029,BingeLayer,BingeLayer Plus,entertainment,install,ugc,35-44,iOS,BR|IT|DE,2026-01-03,2026-03-11,2576,CTR
20030,1030,IronQuest,IronQuest Saga,gaming,install,competitive,35-44,Both,BR|JP|MX,2026-01-17,2026-03-21,2298,CTR
20031,1031,CrispBox,CrispBox Shop,ecommerce,purchase,discount,25-34,Android,ES|CA,2026-01-06,2026-02-27,4338,ROAS
20032,1032,SwiftStack,SwiftStack Wallet,fintech,signup,testimonial,25-34,Both,IT|UK|JP,2026-01-02,2026-03-12,1672,ROAS
20033,1033,NomadLayer,NomadLayer Getaway,travel,booking,destination,25-34,Both,FR|US,2026-01-20,2026-04-01,3595,CTR
20034,1034,PlateSprint,PlateSprint Delivery,food_delivery,order,food-closeup,25-34,iOS,CA|JP|US,2026-01-02,2026-03-03,1447,CTR
20035,1035,StarVault,StarVault Plus,entertainment,install,ugc,25-34,Android,FR|US,2026-01-17,2026-03-26,2364,CPA
20036,1000,PixelForge,PixelForge Legends,gaming,install,gameplay,25-34,iOS,BR|UK|FR,2026-01-01,2026-02-14,1955,ROAS
20037,1001,VantaStyle,VantaStyle Market,ecommerce,purchase,testimonial,45-54,Both,JP|CA,2026-01-18,2026-03-29,4972,CPA
20038,1002,EarnPath,EarnPath Invest,fintech,signup,testimonial,25-34,Android,ES|DE,2026-01-02,2026-03-13,5531,CTR
20039,1003,CloudRoute,CloudRoute Trips,travel,booking,family,35-44,Android,FR|IT,2026-01-17,2026-03-23,2656,IPM
20040,1004,SnapMeal,SnapMeal Kitchen,food_delivery,order,discount,35-44,Android,US|JP|UK,2026-01-09,2026-03-05,4000,CPA
20041,1005,MoonScreen,MoonScreen Stream,entertainment,signup,trailer,18-24,Android,US|FR,2026-01-11,2026-03-08,2798,ROAS
20042,1006,NeonArena,NeonArena Arena,gaming,install,competitive,45-54,Both,BR|ES|MX,2026-01-03,2026-02-20,3636,CTR
20043,1007,ThreadMark,ThreadMark Store,ecommerce,purchase,product-focus,35-44,Both,US|FR|BR,2026-01-20,2026-03-17,2290,ROAS
20044,1008,CoinBridge,CoinBridge Pay,fintech,signup,feature-focus,18-24,Android,FR|UK,2026-01-17,2026-03-26,1639,IPM
20045,1009,DriftPass,DriftPass Trips,travel,booking,family,18-24,Android,US|MX,2026-01-15,2026-03-17,1585,CTR
20046,1010,BiteRush,BiteRush Go,food_delivery,order,discount,45-54,iOS,ES|JP|FR|US,2026-01-17,2026-03-04,3408,CPA
20047,1011,FluxStream,FluxStream Stream,entertainment,install,drama,45-54,Both,FR|ES,2026-01-16,2026-03-28,6546,CTR
20048,1012,VoxelRealm,VoxelRealm Legends,gaming,install,competitive,35-44,Android,FR|US|ES,2026-01-21,2026-03-29,3275,IPM
20049,1013,BoltCart,BoltCart Market,ecommerce,purchase,discount,45-54,iOS,JP|US,2026-01-07,2026-03-13,2480,CPA
20050,1014,VaultRun,VaultRun Cash,fintech,signup,minimalist,35-44,Android,FR|JP|BR|ES,2026-01-16,2026-03-01,5820,ROAS
20051,1015,HorizonHop,HorizonHop Flights,travel,booking,discount,18-24,iOS,BR|JP,2026-01-03,2026-03-06,3239,IPM
20052,1016,FreshDash,FreshDash Eats,food_delivery,order,urgency,45-54,Both,FR|DE|UK|MX,2026-01-08,2026-03-08,3088,ROAS
20053,1017,PulsePlay,PulsePlay Play,entertainment,signup,ugc,35-44,iOS,UK|US,2026-01-05,2026-03-03,3256,ROAS
20054,1018,StormByte,StormByte Saga,gaming,install,gameplay,18-24,iOS,CA|DE|US,2026-01-07,2026-03-14,2845,CPA
20055,1019,ZenDrop,ZenDrop Shop,ecommerce,purchase,testimonial,18-24,iOS,DE|CA|IT,2026-01-09,2026-03-21,2674,CPA
20056,1020,NovaPay,NovaPay Bank,fintech,signup,testimonial,35-44,Both,US|FR,2026-01-14,2026-03-15,1804,IPM
