creative_id,campaign_id,advertiser_name,app_name,vertical,format,width,height,language,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,asset_file
500000,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,ja,2026-01-19,family,power-up,Order now,Level up today,Play with friends tonight,purple,premium,5,0.419,37,0.75,0.733,0.466,0.366,0.823,0,2,0,0,1,0,assets/creative_500000.png
500001,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-30,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,20,0.205,12,0.515,0.86,0.182,0.815,1.0,2,1,0,0,1,0,assets/creative_500001.png
500002,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-02-03,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,10,0.492,52,0.75,0.672,0.388,0.669,0.842,0,1,0,1,0,0,assets/creative_500002.png
500003,20000,PixelForge,PixelForge Legends,gaming,interstitial,360,640,en,2026-01-22,testimonial,free shipping,Order now,Level up today,No ads in first week,orange,trustworthy,5,0.357,23,0.701,0.639,0.475,0.99,0.805,0,1,0,0,1,0,assets/creative_500003.png
500004,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,en,2026-01-20,reward,limited offer,Get offer,Level up today,Free rewards for new players,purple,urgent,15,0.479,62,0.707,0.472,0.586,0.717,0.892,1,2,0,0,0,0,assets/creative_500004.png
500005,20000,PixelForge,PixelForge Legends,gaming,rewarded_video,360,640,ja,2026-01-28,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,10,0.05,40,0.848,0.553,0.553,0.489,0.879,2,1,0,0,1,0,assets/creative_500005.png
500006,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,es,2026-01-15,drama,before/after,Order now,Up to 40% off,Only this weekend,red,urgent,0,0.629,80,0.846,0.806,0.294,0.401,0.42,1,3,0,1,0,0,assets/creative_500006.png
500007,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,360,640,es,2026-01-23,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,8,0.561,66,0.788,0.706,0.29,0.695,0.684,1,3,1,1,0,0,assets/creative_500007.png
500008,20001,VantaStyle,VantaStyle Drops,ecommerce,native,320,320,es,2026-01-28,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,0,0.473,71,0.609,0.796,0.278,0.198,0.359,0,2,0,1,0,1,assets/creative_500008.png
500009,20001,VantaStyle,VantaStyle Drops,ecommerce,banner,320,480,en,2026-01-29,discount,free shipping,Shop now,Limited stock,Free shipping over $25,purple,urgent,0,0.709,91,0.889,0.655,0.539,0.409,0.235,1,3,1,1,0,1,assets/creative_500009.png
500010,20001,VantaStyle,VantaStyle Drops,ecommerce,native,320,320,es,2026-01-24,fantasy,free shipping,Watch now,Limited stock,Shop bestsellers now,orange,premium,0,0.519,35,0.681,0.699,0.491,0.553,0.503,1,3,1,0,0,0,assets/creative_500010.png
500011,20001,VantaStyle,VantaStyle Drops,ecommerce,interstitial,360,640,en,2026-01-24,ugc,before/after,Start now,Flash sale live,Free shipping over $25,blue,trustworthy,8,0.606,69,0.754,0.568,0.761,0.47,0.665,1,2,0,0,0,1,assets/creative_500011.png
500012,20002,EarnPath,EarnPath Invest,fintech,native,320,320,es,2026-01-03,trust,last-minute deal,Book now,"Your money, clearer",Built for peace of mind,blue,excited,0,0.41,45,0.746,0.936,0.329,0.377,0.375,1,1,0,0,0,0,assets/creative_500012.png
500013,20002,EarnPath,EarnPath Invest,fintech,banner,320,480,es,2026-01-03,minimalist,save smarter,Claim reward,Secure & simple,Built for peace of mind,blue,excited,0,0.161,37,0.9,0.74,0.47,0.228,0.343,0,1,0,0,0,0,assets/creative_500013.png
500014,20002,EarnPath,EarnPath Invest,fintech,native,320,320,pt,2026-01-16,feature-focus,new collection,Order now,Secure & simple,Built for peace of mind,white,playful,0,0.287,16,0.99,0.98,0.192,0.05,0.546,1,1,0,0,0,0,assets/creative_500014.png
500015,20002,EarnPath,EarnPath Invest,fintech,banner,320,480,pt,2026-01-19,fantasy,free rewards,Start now,Track every euro,Built for peace of mind,blue,calm,0,0.601,47,0.861,0.794,0.128,0.278,0.38,1,2,0,0,0,1,assets/creative_500015.png
500016,20002,EarnPath,EarnPath Invest,fintech,interstitial,360,640,es,2026-01-03,testimonial,earn more,Order now,Secure & simple,"Fast signup, instant card",blue,urgent,8,0.74,74,0.908,0.582,0.02,0.631,0.3,1,2,0,0,0,1,assets/creative_500016.png
500017,20002,EarnPath,EarnPath Invest,fintech,banner,320,480,es,2026-01-17,feature-focus,security,Try for free,Save with confidence,Built for peace of mind,purple,premium,0,0.147,42,0.903,0.734,0.276,0.397,0.0,1,2,0,0,0,0,assets/creative_500017.png
500018,20003,CloudRoute,CloudRoute Getaway,travel,rewarded_video,360,640,de,2026-01-17,destination,escape,Start now,Last-minute savings,Hotels + flights in one tap,lime,adventurous,20,0.468,60,0.974,0.782,0.272,0.822,0.526,0,1,1,0,0,0,assets/creative_500018.png
500019,20003,CloudRoute,CloudRoute Getaway,travel,interstitial,360,640,pt,2026-01-07,food-closeup,exclusive,Install now,Last-minute savings,Special fares today,purple,adventurous,8,0.304,51,0.919,0.817,0.164,0.405,0.629,1,2,0,0,0,1,assets/creative_500019.png
500020,20003,CloudRoute,CloudRoute Getaway,travel,native,320,320,de,2026-01-12,wanderlust,last-minute deal,Install now,Fly smarter,Special fares today,lime,adventurous,0,0.131,45,0.849,0.51,0.124,0.616,0.414,0,1,1,0,0,0,assets/creative_500020.png
500021,20003,CloudRoute,CloudRoute Getaway,travel,banner,320,480,pt,2026-01-07,wanderlust,escape,Shop now,Book your next trip,Hotels + flights in one tap,blue,calm,0,0.474,50,0.868,0.499,0.36,0.743,0.503,1,1,1,0,0,0,assets/creative_500021.png
